G,C,B,A,Ic,Ib,Ia,Vc,Vb,Va,,,,,,,,,,,,,,,,,,,
1,1,1,0,7.7996,7.1971,0.9871,0.2636,0.2636,1.1511,,,,,,,,,,,,,,,,,,,
1,1,1,0,7.8381,7.2031,0.9879,0.2785,0.2785,1.1418,,,,,,,,,,,,,,,,,,,
1,1,1,0,7.7692,7.2094,0.9905,0.2916,0.2916,1.1335,,,,,,,,,,,,,,,,,,,
1,1,1,0,7.7558,7.2161,0.9865,0.3032,0.3032,1.1262,,,,,,,,,,,,,,,,,,,
1,1,1,0,7.7434,7.2227,0.9872,0.3137,0.3137,1.1196,,,,,,,,,,,,,,,,,,,
1,1,1,0,7.7319,7.2293,0.9871,0.3231,0.3231,1.1136,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.1872,0.9851,7.8554,0.2045,1.1878,0.2045,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.1884,0.9871,7.8354,0.2272,1.1738,0.2272,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.1921,0.9891,7.8167,0.2467,1.1617,0.2467,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.1971,0.9871,7.7996,0.2636,1.1511,0.2636,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.2031,0.9879,7.8381,0.2785,1.1418,0.2785,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.2094,0.9905,7.7692,0.2916,1.1335,0.2916,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.2161,0.9865,7.756,0.3032,1.1262,0.3032,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.2227,0.9872,7.7434,0.3137,1.1196,0.3137,,,,,,,,,,,,,,,,,,,
1,1,0,1,7.2293,0.9871,7.7319,0.3231,1.1136,0.3231,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9851,7.8554,7.1872,1.1878,0.2045,0.2045,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9871,7.8354,7.1884,1.1738,0.2272,0.2272,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9891,7.8167,7.1921,1.1617,0.2467,0.2467,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9871,7.7996,7.1971,1.1511,0.2636,0.2636,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9879,7.8381,7.2031,1.1418,0.2785,0.2785,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9905,7.7692,7.2094,1.1335,0.2916,0.2916,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9865,7.7558,7.2161,1.1262,0.3032,0.3032,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9872,7.7434,7.2227,1.1196,0.3137,0.3137,,,,,,,,,,,,,,,,,,,
1,0,1,1,0.9871,7.7435,7.2293,1.1136,0.3231,0.3231,,,,,,,,,,,,,,,,,,,
